書名,書籍網址,作者,出版社,ISBN,圖片網址
區塊鏈技術與應用,https://www.eslite.com/product/1001116712866624,華為區塊鏈技術開發團隊,五南圖書出版股份有限公司,9789865221270,https://s.eslite.dev/upload/product/l/2681909901001/20200814033756642126.jpg
區塊鏈的衝擊: 從比特幣、金融科技到物聯網顛覆社會結構的破壞性創新技術,https://www.eslite.com/product/1001116712611757,bitbank股份有限公司/ 區塊鏈的衝擊編輯委員會,五南圖書出版股份有限公司,9789571192390,https://s.eslite.dev/Upload/Product/201707/l/636365683510448750.jpg
最新虛擬貨幣鍊金術x區塊鏈x比特幣x以太幣xICO,https://www.eslite.com/product/1001138362696234,Dave C/ 吉米K,經瑋國際股份有限公司,9789578755437,https://s.eslite.dev/Upload/Product/201807/l/636677587752922865.jpg
寫給未來社會的新帳本-區塊鏈: 人類的新型貨幣、終極信任機器與分散治理革命,https://www.eslite.com/product/1001245592594943,龔鳴,大寫出版,9789865695750,https://s.eslite.dev/Upload/Product/201705/l/636311250755060000.jpg
數位化與區塊鏈技術應用於我國貨櫃運輸作業鏈之研究,https://www.eslite.com/product/1001182882682068875004,許書耕/ 林邏耀/ 秦玉玲/ 朱有為/ 陳立武 / 闕嘉宏,交通部運輸研究所,9789865313241,https://s.eslite.dev/upload/product/l/2682068875004/20210909054305094567.jpg
圖解區塊鏈 2: 通證經濟,https://www.eslite.com/product/1001113692871501,徐明星/ 李霁月/ 王沫凝,碁峰資訊股份有限公司,9789865025632,https://s.eslite.dev/upload/product/l/2681916648005/20200829041243714323.jpg
區塊鏈社會學,https://www.eslite.com/product/1001190172865952,高重建,天窗出版社有限公司,9789888599288,https://s.eslite.dev/upload/product/l/2681908994004/20200811040142129179.jpg
人工智慧決策的顧客關係管理: 含機器人流程自動化、AIoT企業應用系統、區塊鏈,https://www.eslite.com/product/1001116712849729,陳瑞陽,五南圖書出版股份有限公司,9789577638953,https://s.eslite.dev/upload/product/l/2681886289000/20200724053034526133.jpg
區塊鏈: 改變未來的倒數計時,https://www.eslite.com/product/1001320902835444,黃步添/ 蔡亮,清文華泉事業有限公司,9789869885768,https://s.eslite.dev/upload/product/l/2681865639000/20200331052834488400.jpg
區塊鏈: 不可不知的金融大未來,https://www.eslite.com/product/1001120322830400,陳根,博碩文化股份有限公司,9789864344697,https://s.eslite.dev/upload/product/l/2681860118005/20200304032621178746.jpg
區塊鏈的商業應用成功實例: 企業轉型X創新X營收成長,https://www.eslite.com/product/1001113692812823,Jai Singh Arun/ Jerry Cuomo/ Nitin Gaur,碁峰資訊股份有限公司,9789865022624,https://s.eslite.dev/Upload/Product/201912/l/637117365007522500.jpg
區塊鏈比你想的還簡單: 重新定義錢的概念 (熱銷版),https://www.eslite.com/product/1001239292811476,董超,佳魁資訊股份有限公司,9789863797906,https://s.eslite.dev/upload/product/l/2681835986004/20191129034615223503.jpg
全球第一個成熟商用區塊鏈框架: HyperLedger Fabric實戰 (熱銷版),https://www.eslite.com/product/1001239292806340,楊毅,佳魁資訊股份有限公司,9789863797838,https://s.eslite.dev/Upload/Product/201911/l/637091443292550210.jpg
後Google時代: 沒落中的大數據和崛起的區塊鏈經濟,https://www.eslite.com/product/1001259142805446,喬治．吉爾德,上奇時代,9789865004323,https://s.eslite.dev/Upload/Product/201911/l/637090578759316250.jpg
區塊鏈會計: 典範轉移、公共帳本之建制,https://www.eslite.com/product/1001318992805871,陳志誠/ 陳兆伸/ 田種楠,鼎鑫策略管理顧問股份有限公司,9789869835602,https://s.eslite.dev/Upload/Product/201911/l/637081940539528750.jpg
不只是金融商品: 區塊鏈技術用程式碼實作 (熱銷版),https://www.eslite.com/product/1001239292806338,黃連金/ 吳思進/ 曹鋒/ 季宙棟/ 等,佳魁資訊股份有限公司,9789863797890,https://s.eslite.dev/Upload/Product/201911/l/637082803885622500.jpg
區塊鏈財富革命,https://www.eslite.com/product/1001265302797083,李光斗,華夏出版有限公司,9789865670900,https://s.eslite.dev/Upload/Product/201910/l/637062930817905000.jpg
金融科技: 大數據、區塊鏈和人工智能的應用與未來,https://www.eslite.com/product/1001137132795131,余豐慧,香港開明書店,9789624591637,https://s.eslite.dev/upload/product/l/2681808919008/20190918043054504896.jpg
"區塊鏈如何改變我們的生活: 數位貨幣淘金夢, 小M老師教你利用數位貨幣翻轉人生",https://www.eslite.com/product/1001144562792050,小M老師,布克文化出版事業部,9789579699877,https://s.eslite.dev/Upload/Product/201909/l/637040466309486250.jpg
區塊鏈技術的未解決問題,https://www.eslite.com/product/1001116712789316,松尾真一郎/ 楠正憲/ 崎村夏彥/ 佐古和惠/ 佐藤雅史/ 林達也/ 古川諒/ 宮澤慎一; 林盟翔/ 校訂,五南圖書出版股份有限公司,9789577635044,https://s.eslite.dev/Upload/Product/201908/l/637025783941701250.jpg
區塊鏈智能合約與DApp實務應用,https://www.eslite.com/product/1001113692761333,李昇暾/ 詹智安,碁峰資訊股份有限公司,9789865021108,https://s.eslite.dev/Upload/Product/201905/l/636930740697702500.jpg
區塊鏈與法律: 程式碼之治,https://www.eslite.com/product/1001127912747910,Primavera De Filippi/ Aaron Wright,元照出版有限公司,9789575110765,https://s.eslite.dev/Upload/Product/201902/l/636869398480088750.jpg
"代幣經濟崛起: 洞見趨勢, 看準未來, 精選全球50則大型區塊鏈募資案例",https://www.eslite.com/product/1001110712742307,王可言/ 李漢超/ 林蔚君,聯經出版事業股份有限公司,9789570852523,https://s.eslite.dev/Upload/Product/201901/l/636840884774857500.jpg
區塊鏈深入淺出: 精選16堂課輕鬆學會智慧合約與加密貨幣,https://www.eslite.com/product/1001120322740607,,博碩文化股份有限公司,9789864343683,https://s.eslite.dev/Upload/Product/201901/l/636833971663967500.jpg
真理機器: 區塊鏈與數位時代的新憲法,https://www.eslite.com/product/1001241772740422,麥克．凱西/ 保羅．威格納,大牌出版,9789867645579,https://s.eslite.dev/Upload/Product/201901/l/636833110107248750.jpg
企業級區塊鏈技術開發實戰,https://www.eslite.com/product/1001113692737710,蔡亮/ 李啟雷/ 梁秀波,碁峰資訊股份有限公司,9789864769988,https://s.eslite.dev/Upload/Product/201901/l/636825333252650984.jpg
白話區塊鏈,https://www.eslite.com/product/1001113692722672,蔣勇/ 文延/ 嘉文,碁峰資訊股份有限公司,9789864769421,https://s.eslite.dev/Upload/Product/201810/l/636762258754067500.jpg
區塊鏈比你想的還簡單: 重新定義錢的概念,https://www.eslite.com/product/1001301192716622,董超/ 主編,佳魁數位,9789863797081,https://s.eslite.dev/Upload/Product/201810/l/636740660289685674.jpg
全球第一個成熟商用區塊鏈框架: HyperLedger Fabric實戰,https://www.eslite.com/product/1001301192717697,楊毅,佳魁數位,9789863797067,https://s.eslite.dev/Upload/Product/201810/l/636743251349080000.jpg
不只是金融商品: 區塊鏈技術用程式碼實作,https://www.eslite.com/product/1001301192706696,黃連金/ 吳思進/ 曹鋒/ 季宙棟,佳魁數位,9789863796954,https://s.eslite.dev/Upload/Product/201809/l/636716471729952204.jpg
區塊鏈智慧合約開發與安全防護實作,https://www.eslite.com/product/1001113882697547,田篭照博,旗標科技股份有限公司,9789863125358,https://s.eslite.dev/Upload/Product/201807/l/636682772030601250.jpg
區塊鏈錢途,https://www.eslite.com/product/1001190172695552,王俊文,天窗出版社有限公司,9789888395798,https://s.eslite.dev/upload/product/l/2681609737009/804140.jpg
實戰區塊鏈技術: 加密貨幣與密碼學,https://www.eslite.com/product/1001113692677696,王毅丞,碁峰資訊股份有限公司,9789864767632,https://s.eslite.dev/Upload/Product/201805/l/636623157069704336.jpg
