書名,書籍網址,作者,出版社,ISBN,圖片網址
"學會C語言: 從不懂, 到玩上手! 圖控邏輯加強版",https://www.eslite.com/product/1001113882727318,陳會安,旗標科技股份有限公司,9789863125525,https://s.eslite.dev/Upload/Product/201811/l/636779540074566250.jpg
例說89S51-C語言 (第6版/附CD-ROM),https://www.eslite.com/product/1001164842724245,張義和/ 王敏男/ 許宏昌/ 余春長,新文京開發出版股份有限公司,9789864304264,https://s.eslite.dev/Upload/Product/201811/l/636768306622288750.jpg
全民學程式設計: 從插畫學C語言,https://www.eslite.com/product/1001113882653574,,旗標科技股份有限公司,9789863125006,https://s.eslite.dev/Upload/Product/201801/o/636528388809645000.gif
運算思維修習學堂: 使用C語言的10堂入門程式課,https://www.eslite.com/product/1001120322853090,吳燦銘,博碩文化股份有限公司,9789864344932,https://s.eslite.dev/upload/product/l/2681891575006/20200620055438840726.jpg
詳細解析PIC 16F18857/ 77原理與應用: 使用組合語言與C語言,https://www.eslite.com/product/1001122412828321,洪正瑞,台科大圖書股份有限公司,9789864553068,https://s.eslite.dev/upload/product/l/2681857977004/20200221062037352026.jpg
圖解資料結構: 使用C語言 (第4版),https://www.eslite.com/product/1001120322810600,胡昭民,博碩文化股份有限公司,9789864344451,https://s.eslite.dev/Upload/Product/201912/l/637110451987625000.jpg
21世紀C語言 (第2版),https://www.eslite.com/product/1001133102768582,Ben Klemens,美商歐萊禮股份有限公司台灣分公司,9789865021368,https://s.eslite.dev/Upload/Product/201905/l/636948882882255000.jpg
C語言初學指引: 成為高手的奠基之路 (第5版),https://www.eslite.com/product/1001120322766879,,博碩文化股份有限公司,9789864343911,https://s.eslite.dev/Upload/Product/201905/l/636942838218638750.jpg
APCS大學程式設計先修檢測: C語言超效解題致勝祕笈,https://www.eslite.com/product/1001120322757372,吳燦銘; ZCT/ 策劃,博碩文化股份有限公司,9789864343850,https://s.eslite.dev/Upload/Product/201911/l/637100183177172500.jpg
程式設計與生活: 使用C語言 (4版/附光碟),https://www.eslite.com/product/1001122982736267,邏輯林,全華圖書股份有限公司,9789864639915,https://s.eslite.dev/upload/product/l/2681700453006/ec1629210.jpg
C語言基礎必修課: 涵蓋APCS大學程式設計先修檢測試題詳解,https://www.eslite.com/product/1001113692728956,蔡文龍/ 何嘉益/ 張志成/ 張力元; 吳明哲/ 策劃,碁峰資訊股份有限公司,9789864769780,https://s.eslite.dev/Upload/Product/201811/l/636786452901608750.jpg
學運算思維從Scratch到C語言程式設計: 插電學思考 使用DICE程式教學與評量系統,https://www.eslite.com/product/1001122412717862,楊靜怡/ 簡立仁/ 簡廷軒,台科大圖書股份有限公司,9789864557448,https://s.eslite.dev/Upload/Product/201810/l/636743253574236250.jpg
C語言程式設計: 入門與實務演練 (第2版/附範例光碟),https://www.eslite.com/product/1001122982729711,吳卓俊,全華圖書股份有限公司,9789864638963,https://s.eslite.dev/Upload/Product/201811/l/636790771732840000.jpg
學C語言從玩NXT樂高機器人開始: 使用NXC (第4版/附光碟),https://www.eslite.com/product/1001299212697905,李春雄,上奇資訊,9789865002367,https://s.eslite.dev/Upload/Product/201807/l/636686226356017500.jpg
圖說演算法: 使用C語言,https://www.eslite.com/product/1001120322668525,吳燦銘/ 胡昭民,博碩文化股份有限公司,9789864342921,https://s.eslite.dev/Upload/Product/201804/l/636592306886153750.jpg
秋聲教你玩: C語言底層破解基礎篇,https://www.eslite.com/product/1001120322652212,北極星,博碩文化股份有限公司,9789864342754,https://s.eslite.dev/Upload/Product/201801/l/636518908729111250.JPG
C語言程式設計: 使用Arduino C趣玩mBot機器人 (最新版/附範例檔),https://www.eslite.com/product/1001122412640133,鮮師,台科大圖書股份有限公司,9789864555239,https://s.eslite.dev/upload/product/l/2681526955005/735869.jpg
入門首選C語言程式設計 (最新版/附範例檔),https://www.eslite.com/product/1001122412628080,勁樺科技,台科大圖書股份有限公司,9789864555086,https://s.eslite.dev/Upload/Product/201709/l/636422707638810000.jpg
學C語言從玩NXT樂高機器人開始: 使用NXC (第3版/附光碟),https://www.eslite.com/product/1001299212604393,李春雄,上奇資訊,9789869498210,https://s.eslite.dev/Upload/Product/201706/l/636342356338782500.jpg
C語言入門與進階教學: 跨平台程式設計及最新C11語法介紹,https://www.eslite.com/product/1001182722590631,鄭昌杰,國立陽明交通大學出版社,9789866301988,https://s.eslite.dev/Upload/Product/201705/l/636294834553848750.jpg
微處理器原理與應用: C語言與PIC18微控制器 (第4版),https://www.eslite.com/product/1001116712582336,曾百由,五南圖書出版股份有限公司,9789571190358,https://s.eslite.dev/Upload/Product/201703/l/636265459684121250.jpg
單晶片微電腦8051/8951原理與應用: C語言 (第3版/附範例、系統光碟),https://www.eslite.com/product/1001122982546734,蔡朝洋/ 蔡承佑,全華圖書股份有限公司,9789864633609,https://s.eslite.dev/upload/product/l/2681383530001/611961.jpg
C語言程式設計與應用 (第2版/附光碟),https://www.eslite.com/product/1001122982538041,陳會安,全華圖書股份有限公司,9789864632787,https://s.eslite.dev/upload/product/l/2681368904001/603306.jpg
C語言程式設計實務: 立即擁有結構化程式設計能力的16堂課,https://www.eslite.com/product/1001120322522888,吳燦銘,博碩文化股份有限公司,9789864341146,https://s.eslite.dev/upload/product/l/2681343576001/585260.jpg
MCS-51原理與實習: KEIL C語言版 (第2版/附光碟),https://www.eslite.com/product/1001122982516059,鍾明政/ 陳宏明,全華圖書股份有限公司,9789572198360,https://s.eslite.dev/upload/product/l/2681330916001/574928.jpg
C語言程式設計 (第4版/附CD-ROM),https://www.eslite.com/product/1001122982516053,劉紹漢,全華圖書股份有限公司,9789864632015,https://s.eslite.dev/upload/product/l/2681330910009/574934.jpg
看圖學C語言 (附光碟),https://www.eslite.com/product/1001122982493293,陳會安,全華圖書股份有限公司,9789864630721,https://s.eslite.dev/Upload/Product/201603/l/635926772518905000.jpg
以C語言解析電腦 (第2版/附光碟),https://www.eslite.com/product/1001122982493283,蔡英川,全華圖書股份有限公司,9789864631247,https://s.eslite.dev/upload/product/l/2681287331001/ec1090885.jpg
實戰C語言: 增訂TQC+ C程式語言認證模擬試題 (附光碟),https://www.eslite.com/product/1001113692475713,蔡明志,碁峰資訊股份有限公司,9789863478348,https://s.eslite.dev/Upload/Product/201512/l/635858515836896250.jpg
學C語言從玩NXT樂高機器人開始: 使用NXC (附光碟),https://www.eslite.com/product/1001299212422146,李春雄,上奇資訊,9789863752790,https://s.eslite.dev/upload/product/l/2681065707004/479993.jpg
嵌入式C語言程式設計: 使用MCS-51 (第4版/附光碟),https://www.eslite.com/product/1001122982350803,郁文工作室,全華圖書股份有限公司,9789572194843,https://s.eslite.dev/upload/product/l/2680897135009/406694.jpg
8051入門: C語言輕鬆學,https://www.eslite.com/product/1001113692324741,楊明豐,碁峰資訊股份有限公司,9789863471271,https://s.eslite.dev/Upload/Product/201405/l/635356532087221250.jpg
最新C語言程式設計實例入門 (第4版/附CD),https://www.eslite.com/product/1001120322213025,高橋麻奈,博碩文化股份有限公司,9789862016916,https://s.eslite.dev/Upload/Product/201302/l/634958227244148750.jpg
C語言從零開始 (附CD),https://www.eslite.com/product/1001120322137024,資訊教育研究室,博碩文化股份有限公司,9789862015834,https://s.eslite.dev/upload/product/l/2680681196001/149602.jpg
樂在C語言 (第二版/附光碟),https://www.eslite.com/product/1001113692117632,蔡明志,碁峰資訊股份有限公司,9789862764299,https://s.eslite.dev/Upload/Product/201203/l/634668786579627500.jpg
C語言入門經典 (附光碟),https://www.eslite.com/product/1001184941947423,康廷數位,藍海文化事業股份有限公司,9789866432194,https://s.eslite.dev/Upload/Product/201005/l/634103096721433750.jpg
易習C語言入門 (附VCD),https://www.eslite.com/product/1001247581924312,丁國棟,加樺國際有限公司,9789866551895,https://s.eslite.dev/Upload/Product/201002/l/634013020248163750.jpg
C語言數位影像處理: Windows/X-Window (附範例光碟),https://www.eslite.com/product/1001122982101238,林明德/ 吳上立,全華圖書股份有限公司,9789572173732,https://s.eslite.dev/Upload/Product/201112/l/634587571926853750.jpg
C語言程式設計範例教本 (第2版/附光碟),https://www.eslite.com/product/1001124691934013,陳會安,學貫行銷股份有限公司,9789862630006,https://s.eslite.dev/Upload/Product/201003/l/634056231550942500.jpg
C語言程式設計剖析 (第3版/附光碟),https://www.eslite.com/product/1001122981870695,簡聰海,全華圖書股份有限公司,9789572165133,https://s.eslite.dev/upload/product/l/2680428770006/126050.jpg
C語言自學手冊,https://www.eslite.com/product/1001114561377271,,美商麥格羅希爾國際股份有限公司台灣分公司,9789574931194,0
高手才用C語言: Windows C/C++加密解密實戰,https://www.eslite.com/product/1001313432682066639004,朱晨冰/ 李建英,深智數位股份有限公司,9789860776348,https://s.eslite.dev/upload/product/l/2682066639004/20210903031608491896.jpg
C語言程式設計: 入門與實務演練 (第3版/附範例光碟),https://www.eslite.com/product/1001122982682067676008,吳卓俊,全華圖書股份有限公司,9789865038175,https://s.eslite.dev/upload/product/l/2682067676008/20210907040439686938.jpg
C語言程式設計與應用 (第3版/附範例光碟),https://www.eslite.com/product/1001122982682058370007,陳會安,全華圖書股份有限公司,9789865038144,https://s.eslite.dev/upload/product/l/2682058370007/20210814062831107926.jpg
戰勝C語言 (第3版),https://www.eslite.com/product/1001113692682016455005,蔡明志,碁峰資訊股份有限公司,9789865027438,https://s.eslite.dev/upload/product/l/2682016455005/20210513040514503018.jpg
進階程式設計: APCS解題策略 C語言篇,https://www.eslite.com/product/1001122982682046309002,王佳盈,全華圖書股份有限公司,9789865036454,https://s.eslite.dev/upload/product/l/2682046309002/20210720034926723782.jpg
看圖學C語言與運算思維 (第2版/附範例光碟),https://www.eslite.com/product/1001122982682000393009,陳會安,全華圖書股份有限公司,9789865035914,https://s.eslite.dev/upload/product/l/2682000393009/20210407033221177067.jpg
無師自通的C語言程式設計 (附大學程式設計先修檢測APCS試題解析/資料檔光碟),https://www.eslite.com/product/1001116712681991936004,邏輯林,五南圖書出版股份有限公司,9789865224578,https://s.eslite.dev/upload/product/l/2681991936004/20210317034208905599.jpg
APCS大學程式設計先修檢測: C語言超效解題致勝祕笈 (暢銷回饋版),https://www.eslite.com/product/1001120322681967499007,吳燦銘; ZCT/ 策劃,博碩文化股份有限公司,9789864345533,https://s.eslite.dev/upload/product/l/2681967499007/20210109061609700250.jpg
AI世代高中生也能輕鬆搞懂的運算思維與演算法: 使用C語言,https://www.eslite.com/product/1001120322681952157004,吳燦銘,博碩文化股份有限公司,9789864345434,https://s.eslite.dev/upload/product/l/2681952157004/20201208035840465581.jpg
圖說演算法: 使用C語言 (暢銷回饋版),https://www.eslite.com/product/1001120322681952161001,吳燦銘/ 胡昭民,博碩文化股份有限公司,9789864345519,https://s.eslite.dev/upload/product/l/2681952161001/20201208035844085588.jpg
資料結構: 使用C語言 (第6版/附範例光碟),https://www.eslite.com/product/1001122982681952013003,蔡明志,全華圖書股份有限公司,9789865035068,https://s.eslite.dev/upload/product/l/2681952013003/20201205040852768276.jpg
微處理器: C語言與PIC18微控制器,https://www.eslite.com/product/1001116712681929108008,曾百由,五南圖書出版股份有限公司,9789865222277,https://s.eslite.dev/upload/product/l/2681929108008/20201013034140513862.jpg
物件導向程式設計: 結合生活與遊戲的C＃語言 (附光碟),https://www.eslite.com/product/1001122982778071,邏輯林,全華圖書股份有限公司,9789865030315,https://s.eslite.dev/upload/product/l/2681784300005/20190711042039314259.jpg
C語言入門精要,https://www.eslite.com/product/1001184942747387,康廷數位,藍海文化事業股份有限公司,9789866432927,https://s.eslite.dev/upload/product/l/2681724828002/20190305193150071247.jpg
戰勝C語言 (第2版),https://www.eslite.com/product/1001113692740617,蔡明志,碁峰資訊股份有限公司,9789865020156,https://s.eslite.dev/Upload/Product/201901/l/636833970624905000.jpg
KNRm Robotics智慧機器人控制實驗: C語言 (附範例光碟),https://www.eslite.com/product/1001122982716844,宋開泰,全華圖書股份有限公司,9789864638635,https://s.eslite.dev/upload/product/l/2681665567008/829522.jpg
實用C語言程式設計入門,https://www.eslite.com/product/1001113882685045,,旗標科技股份有限公司,9789863125365,https://s.eslite.dev/Upload/Product/201806/l/636637845177291250.jpg
輕課程 機電整合輕鬆學 趣玩小木屋: 使用Arduino C語言,https://www.eslite.com/product/1001122412676443,連宏城/ 連珮晴/ 連紹傑,台科大圖書股份有限公司,9789864556106,https://s.eslite.dev/Upload/Product/201805/l/636611060965905306.jpg
秋聲教你玩: C語言底層破解指標篇,https://www.eslite.com/product/1001120322656188,北極星,博碩文化股份有限公司,9789864342792,https://s.eslite.dev/Upload/Product/201802/l/636536757624932500.jpg
資料結構: 使用C語言 (第5版/附範例光碟),https://www.eslite.com/product/1001122982649865,蔡明志,全華圖書股份有限公司,9789864637072,https://s.eslite.dev/Upload/Product/201801/l/636505651128200000.jpg
程式設計實習: 使用C語言 (最新版/附OTAS題測系統/範例程式檔),https://www.eslite.com/product/1001122412643138,張俊雄/ 林后鍾,台科大圖書股份有限公司,9789864555284,https://s.eslite.dev/upload/product/l/2681530610006/741154.jpg
C語言程式設計: 入門與實務演練 (附光碟),https://www.eslite.com/product/1001122982552592,吳卓俊,全華圖書股份有限公司,9789864633654,https://s.eslite.dev/upload/product/l/2681392493007/619573.jpg
Arduino C語言程式設計: 使用mBot金屬積木機器人,https://www.eslite.com/product/1001122412541705,iTRY愛創機器人實驗室/ 李春雄/ 柳家祥,台科大圖書股份有限公司,9789864550357,https://s.eslite.dev/Upload/Product/201609/l/636101298373526250.jpg
